From	To	Species	Gene Name
mir320d1	100313896	Homo sapiens	microRNA 320d-1(MIR320D1)
mir149	406941	Homo sapiens	microRNA 149(MIR149)
mir1282	100302254	Homo sapiens	microRNA 1282(MIR1282)
mir145	406937	Homo sapiens	microRNA 145(MIR145)
mir1281	100302237	Homo sapiens	microRNA 1281(MIR1281)
mir1284	100302112	Homo sapiens	microRNA 1284(MIR1284)
mir141	406933	Homo sapiens	microRNA 141(MIR141)
mir383	494332	Homo sapiens	microRNA 383(MIR383)
mir450a1	554214	Homo sapiens	microRNA 450a-1(MIR450A1)
mir142	406934	Homo sapiens	microRNA 142(MIR142)
mir450a2	574505	Homo sapiens	microRNA 450a-2(MIR450A2)
mir1288	100302124	Homo sapiens	microRNA 1288(MIR1288)
mir143	406935	Homo sapiens	microRNA 143(MIR143)
mir1287	100302133	Homo sapiens	microRNA 1287(MIR1287)
mir144	406936	Homo sapiens	microRNA 144(MIR144)
mir380	494329	Homo sapiens	microRNA 380(MIR380)
mir381	494330	Homo sapiens	microRNA 381(MIR381)
mir140	406932	Homo sapiens	microRNA 140(MIR140)
mir382	494331	Homo sapiens	microRNA 382(MIR382)
mir320c1	100302135	Homo sapiens	microRNA 320c-1(MIR320C1)
mir320a	407037	Homo sapiens	microRNA 320a(MIR320A)
mir92a2	407049	Homo sapiens	microRNA 92a-2(MIR92A2)
mir320c2	100302195	Homo sapiens	microRNA 320c-2(MIR320C2)
mir320e	100422913	Homo sapiens	microRNA 320e(MIR320E)
mir139	406931	Homo sapiens	microRNA 139(MIR139)
mir134	406924	Homo sapiens	microRNA 134(MIR134)
mir497	574456	Homo sapiens	microRNA 497(MIR497)
mir1292	100302138	Homo sapiens	microRNA 1292(MIR1292)
mir377	494326	Homo sapiens	microRNA 377(MIR377)
mir136	406927	Homo sapiens	microRNA 136(MIR136)
mir1294	100302181	Homo sapiens	microRNA 1294(MIR1294)
mir137	406928	Homo sapiens	microRNA 137(MIR137)
mir379	494328	Homo sapiens	microRNA 379(MIR379)
mir372	442917	Homo sapiens	microRNA 372(MIR372)
mir493	574450	Homo sapiens	microRNA 493(MIR493)
mir1296	100302150	Homo sapiens	microRNA 1296(MIR1296)
mir494	574452	Homo sapiens	microRNA 494(MIR494)
mir132	406921	Homo sapiens	microRNA 132(MIR132)
mir495	574453	Homo sapiens	microRNA 495(MIR495)
mir375	494324	Homo sapiens	microRNA 375(MIR375)
mir496	574454	Homo sapiens	microRNA 496(MIR496)
mir3117	100422871	Homo sapiens	microRNA 3117(MIR3117)
mir1179	100302235	Homo sapiens	microRNA 1179(MIR1179)
mir133a1	406922	Homo sapiens	microRNA 133a-1(MIR133A1)
mir370	442915	Homo sapiens	microRNA 370(MIR370)
mir491	574444	Homo sapiens	microRNA 491(MIR491)
mir4326	100422945	Homo sapiens	microRNA 4326(MIR4326)
mir3150b	100500907	Homo sapiens	microRNA 3150b(MIR3150B)
mir23c	100500809	Homo sapiens	microRNA 23c(MIR23C)
mir200b	406984	Homo sapiens	microRNA 200b(MIR200B)
mir551b	693136	Homo sapiens	microRNA 551b(MIR551B)
mir200c	406985	Homo sapiens	microRNA 200c(MIR200C)
mir551a	693135	Homo sapiens	microRNA 551a(MIR551A)
mir23a	407010	Homo sapiens	microRNA 23a(MIR23A)
mir200a	406983	Homo sapiens	microRNA 200a(MIR200A)
mir23b	407011	Homo sapiens	microRNA 23b(MIR23B)
mir127	406914	Homo sapiens	microRNA 127(MIR127)
mir369	442914	Homo sapiens	microRNA 369(MIR369)
mir1291	100302221	Homo sapiens	microRNA 1291(MIR1291)
mir519a2	574500	Homo sapiens	microRNA 519a-2(MIR519A2)
mir488	574441	Homo sapiens	microRNA 488(MIR488)
mir126	406913	Homo sapiens	microRNA 126(MIR126)
mir489	574442	Homo sapiens	microRNA 489(MIR489)
mir2277	100313887	Homo sapiens	microRNA 2277(MIR2277)
mir361	494323	Homo sapiens	microRNA 361(MIR361)
mir483	619552	Homo sapiens	microRNA 483(MIR483)
mir362	574030	Homo sapiens	microRNA 362(MIR362)
mir484	619553	Homo sapiens	microRNA 484(MIR484)
mir363	574031	Homo sapiens	microRNA 363(MIR363)
mir2276	100313842	Homo sapiens	microRNA 2276(MIR2276)
mir485	574436	Homo sapiens	microRNA 485(MIR485)
mir3129	100422908	Homo sapiens	microRNA 3129(MIR3129)
mir3127	100422928	Homo sapiens	microRNA 3127(MIR3127)
mir519a1	574496	Homo sapiens	microRNA 519a-1(MIR519A1)
mir10a	406902	Homo sapiens	microRNA 10a(MIR10A)
mir34c	407042	Homo sapiens	microRNA 34c(MIR34C)
mir10b	406903	Homo sapiens	microRNA 10b(MIR10B)
mir891a	100126341	Homo sapiens	microRNA 891a(MIR891A)
mir34a	407040	Homo sapiens	microRNA 34a(MIR34A)
mir34b	407041	Homo sapiens	microRNA 34b(MIR34B)
mir1181	100302213	Homo sapiens	microRNA 1181(MIR1181)
mir1180	100302256	Homo sapiens	microRNA 1180(MIR1180)
